time,EMG1,EMG2
0.095,-0.0588989,0.0793457
0.0955,-0.0674438,0.0775146
0.096,-0.071106,0.0772095
0.0965,-0.0808716,0.0744629
0.097,-0.0875854,0.0726318
0.0975,-0.0915527,0.0704956
0.098,-0.0982666,0.0671387
0.0985,-0.106506,0.0634766
0.099,-0.118713,0.0585938
0.0995,-0.106201,0.0552368
0.1,-0.0747681,0.0531006
0.1005,-0.0326538,0.050354
0.101,0.0177002,0.0476074
0.1015,0.0424194,0.0436401
0.102,0.0408936,0.0393677
0.1025,0.0286865,0.0338745
0.103,0.00732422,0.0302124
0.1035,-0.000915527,0.0454712
0.104,0.00427246,0.0564575
0.1045,0.00427246,0.0695801
0.105,-0.00610352,0.0820923
0.1055,-0.010376,0.0830078
0.106,-0.0128174,0.0860596
0.1065,-0.0213623,0.0927734
0.107,-0.0436401,0.114441
0.1075,-0.0750732,0.121765
0.108,-0.103455,0.0952148
0.1085,-0.0930786,0.0695801
0.109,-0.0497437,0.0186157
0.1095,-0.0161743,-0.0695801
0.11,-0.0143433,-0.155945
0.1105,-0.0253296,-0.295715
0.111,-0.0305176,-0.298157
0.1115,-0.0247192,-0.26001
0.112,-0.00946045,-0.222473
0.1125,0.00610352,-0.130615
0.113,0.017395,-0.0585938
0.1135,0.0234985,-0.0708008
0.114,0.0415039,-0.164795
0.1145,0.06073,-0.109863
0.115,0.0631714,0.00274658
0.1155,0.0726318,0.0897217
0.116,0.102844,0.150452
0.1165,0.136414,0.160828
0.117,0.146179,0.122986
0.1175,0.137634,0.0869751
0.118,0.112915,0.0680542
0.1185,0.0817871,0.0701904
0.119,0.0424194,0.0775146
0.1195,0.010376,0.0753784
0.12,-0.00366211,0.0570679
0.1205,-0.0106812,0.0384521
0.121,-0.0125122,0.0
0.1215,-0.00701904,-0.0442505
0.122,-0.000610352,-0.0588989
0.1225,-0.00457764,-0.0817871
0.123,-0.020752,-0.062561
0.1235,-0.0198364,-0.0299072
0.124,-0.015564,-0.0192261
0.1245,-0.0088501,-0.0140381
0.125,-0.010376,-0.0811768
0.1255,-0.0332642,-0.117493
0.126,-0.055542,-0.0579834
0.1265,-0.072937,-0.0289917
0.127,-0.0970459,0.027771
0.1275,-0.129089,0.0756836
0.128,-0.130615,0.123901
0.1285,-0.102234,0.130005
0.129,-0.0830078,0.128479
0.1295,-0.0622559,0.158386
0.13,-0.0384521,0.188599
0.1305,-0.017395,0.205994
0.131,-0.0088501,0.161133
0.1315,-0.00579834,0.220642
0.132,0.0192261,0.288086
0.1325,0.0439453,0.171509
0.133,0.0576782,0.0967407
0.1335,0.0588989,-0.00732422
0.134,0.0527954,-0.383301
0.1345,0.0500488,-0.495605
0.135,0.0354004,-0.48584
0.1355,0.010376,-0.387878
0.136,-0.0106812,-0.228271
0.1365,-0.0250244,-0.318604
0.137,-0.0262451,-0.389404
0.1375,-0.022583,-0.35614
0.138,-0.0338745,-0.135193
0.1385,-0.0531006,0.0430298
0.139,-0.0662231,0.0363159
0.1395,-0.0549316,0.0408936
0.14,-0.0308228,0.134277
0.1405,-0.0109863,0.172119
0.141,-0.00274658,0.124512
0.1415,-0.0109863,0.0747681
0.142,-0.00610352,0.0643921
0.1425,0.00793457,0.0933838
0.143,0.0326538,0.0952148
0.1435,0.0430298,0.0466919
0.144,0.0292969,-0.0534058
0.1445,0.00610352,-0.136108
0.145,-0.0549316,-0.0653076
0.1455,-0.0942993,0.0921631
0.146,-0.102844,0.177917
0.1465,-0.0762939,0.145874
0.147,-0.0204468,0.0991821
0.1475,0.0256348,0.0979614
0.148,0.0384521,0.0967407
0.1485,0.0637817,0.0958252
0.149,0.115051,0.0881958
0.1495,0.13855,0.0772095
0.15,0.125122,0.0619507
0.1505,0.101624,0.0506592
0.151,0.0817871,0.0387573
0.1515,0.0869751,0.0366211
0.152,0.0958252,0.0314331
0.1525,0.0857544,0.0204468
0.153,0.0802612,0.0112915
0.1535,0.0619507,0.0292969
0.154,0.0561523,0.0442505
0.1545,0.0628662,0.0598145
0.155,0.0891113,0.0845337
0.1555,0.102844,0.0463867
0.156,0.072937,-0.00213623
0.1565,0.0100708,0.0112915
0.157,-0.0439453,0.0531006
0.1575,-0.0732422,0.0576782
0.158,-0.0946045,0.0634766
0.1585,-0.126038,0.0543213
0.159,-0.128479,0.0210571
0.1595,-0.126953,0.032959
0.16,-0.100708,0.0827026
0.1605,-0.0479126,-0.0292969
0.161,-0.0256348,-0.154114
0.1615,-0.0231934,-0.0863647
0.162,-0.0250244,0.00518799
